iteration,active_learning_train,active_learning_predict,evaluation_results,uncertainty_scores,most_uncertain
0,['AMD2'],"dict_keys(['ARO3', 'BOR2', 'FLU2', 'FNH2', 'GLA2', 'GUT2', 'KLO2', 'LAG3', 'SHE2', 'SLF2', 'SPN2', 'STN2', 'TRU2', 'TUM2'])","[0.28082573413848877, 0.9121488928794861]","{'ARO3': 0.11018798, 'BOR2': 0.004916646, 'FLU2': 0.38446042, 'FNH2': 0.07746765, 'GLA2': 0.050080616, 'GUT2': 0.022302534, 'KLO2': 0.050357495, 'LAG3': 0.17578766, 'SHE2': 0.2294339, 'SLF2': 0.28861874, 'SPN2': 0.21644488, 'STN2': 0.15102084, 'TRU2': 0.0015552628, 'TUM2': 0.1993341}",FLU2
1,"['AMD2', 'FLU2']","dict_keys(['ARO3', 'BOR2', 'FNH2', 'GLA2', 'GUT2', 'KLO2', 'LAG3', 'SHE2', 'SLF2', 'SPN2', 'STN2', 'TRU2', 'TUM2'])","[0.27283939719200134, 0.9169943928718567]","{'ARO3': 0.3407839, 'BOR2': 0.30149218, 'FNH2': 0.27486655, 'GLA2': 0.2960007, 'GUT2': 0.3048673, 'KLO2': 0.29020965, 'LAG3': 0.36834767, 'SHE2': 0.4633062, 'SLF2': 0.43879107, 'SPN2': 0.34850344, 'STN2': 0.35657072, 'TRU2': 0.25306568, 'TUM2': 0.40631926}",SHE2
2,"['AMD2', 'FLU2', 'SHE2']","dict_keys(['ARO3', 'BOR2', 'FNH2', 'GLA2', 'GUT2', 'KLO2', 'LAG3', 'SLF2', 'SPN2', 'STN2', 'TRU2', 'TUM2'])","[0.25275057554244995, 0.9242509603500366]","{'ARO3': 0.41040796, 'BOR2': 0.4169323, 'FNH2': 0.31030628, 'GLA2': 0.2810028, 'GUT2': 0.45406744, 'KLO2': 0.34275237, 'LAG3': 0.40957755, 'SLF2': 0.3609395, 'SPN2': 0.40002474, 'STN2': 0.41092178, 'TRU2': 0.23179848, 'TUM2': 0.43781897}",GUT2
3,"['AMD2', 'FLU2', 'SHE2', 'GUT2']","dict_keys(['ARO3', 'BOR2', 'FNH2', 'GLA2', 'KLO2', 'LAG3', 'SLF2', 'SPN2', 'STN2', 'TRU2', 'TUM2'])","[0.2503879964351654, 0.9054073095321655]","{'ARO3': 0.5501397, 'BOR2': 0.46590984, 'FNH2': 0.330202, 'GLA2': 0.2859028, 'KLO2': 0.31305888, 'LAG3': 0.45916867, 'SLF2': 0.3513178, 'SPN2': 0.53854036, 'STN2': 0.4484803, 'TRU2': 0.26840103, 'TUM2': 0.47278717}",ARO3
4,"['AMD2', 'FLU2', 'SHE2', 'GUT2', 'ARO3']","dict_keys(['BOR2', 'FNH2', 'GLA2', 'KLO2', 'LAG3', 'SLF2', 'SPN2', 'STN2', 'TRU2', 'TUM2'])","[0.25987204909324646, 0.914068341255188]","{'BOR2': 0.5974509, 'FNH2': 0.39873096, 'GLA2': 0.40645868, 'KLO2': 0.4759149, 'LAG3': 0.5516728, 'SLF2': 0.48504475, 'SPN2': 0.58122134, 'STN2': 0.51221764, 'TRU2': 0.38869128, 'TUM2': 0.5581035}",BOR2
5,"['AMD2', 'FLU2', 'SHE2', 'GUT2', 'ARO3', 'BOR2']","dict_keys(['FNH2', 'GLA2', 'KLO2', 'LAG3', 'SLF2', 'SPN2', 'STN2', 'TRU2', 'TUM2'])","[0.24178752303123474, 0.9254213571548462]","{'FNH2': 0.4364455, 'GLA2': 0.44914964, 'KLO2': 0.46957505, 'LAG3': 0.5763304, 'SLF2': 0.53670883, 'SPN2': 0.60104686, 'STN2': 0.5636748, 'TRU2': 0.40518898, 'TUM2': 0.61291915}",TUM2
6,"['AMD2', 'FLU2', 'SHE2', 'GUT2', 'ARO3', 'BOR2', 'TUM2']","dict_keys(['FNH2', 'GLA2', 'KLO2', 'LAG3', 'SLF2', 'SPN2', 'STN2', 'TRU2'])","[0.24985019862651825, 0.9280664920806885]","{'FNH2': 0.43804374, 'GLA2': 0.44044307, 'KLO2': 0.4769905, 'LAG3': 0.60817593, 'SLF2': 0.5474457, 'SPN2': 0.64627796, 'STN2': 0.57384926, 'TRU2': 0.4069292}",SPN2
7,"['AMD2', 'FLU2', 'SHE2', 'GUT2', 'ARO3', 'BOR2', 'TUM2', 'SPN2']","dict_keys(['FNH2', 'GLA2', 'KLO2', 'LAG3', 'SLF2', 'STN2', 'TRU2'])","[0.2729203701019287, 0.9275749325752258]","{'FNH2': 0.56565034, 'GLA2': 0.51399, 'KLO2': 0.49783617, 'LAG3': 0.5522356, 'SLF2': 0.53948873, 'STN2': 0.54195935, 'TRU2': 0.5020684}",FNH2
8,"['AMD2', 'FLU2', 'SHE2', 'GUT2', 'ARO3', 'BOR2', 'TUM2', 'SPN2', 'FNH2']","dict_keys(['GLA2', 'KLO2', 'LAG3', 'SLF2', 'STN2', 'TRU2'])","[0.2737712562084198, 0.9303604960441589]","{'GLA2': 0.4401654, 'KLO2': 0.44279513, 'LAG3': 0.4551412, 'SLF2': 0.48773935, 'STN2': 0.47853735, 'TRU2': 0.46008265}",SLF2
9,"['AMD2', 'FLU2', 'SHE2', 'GUT2', 'ARO3', 'BOR2', 'TUM2', 'SPN2', 'FNH2', 'SLF2']","dict_keys(['GLA2', 'KLO2', 'LAG3', 'STN2', 'TRU2'])","[0.3208243250846863, 0.9254915714263916]","{'GLA2': 0.43723786, 'KLO2': 0.4470492, 'LAG3': 0.48131076, 'STN2': 0.4533624, 'TRU2': 0.38699067}",LAG3
